Timestamp;PM10;PTS;NO2;O3;SO2;PM 2,5;Tº;DV;VV;UR
2020-01-01 00:30:00;20;31;8.72;26.71;2.99;12;21.6;30;6.05;72.6
2020-01-01 01:30:00;33;49;8.41;27.71;3.27;28;21.2;33;10.04;74.1
2020-01-01 02:30:00;19;31;5.55;31.57;2.68;12;20.9;35;;74.3
2020-01-01 03:30:00;23;26;5.34;34.33;2.51;13;20.8;44;;73.8
2020-01-01 04:30:00;19;29;4.64;32.82;2.45;;20.6;32;;74
2020-01-01 05:30:00;23;30;5.44;28.95;2.63;12;20;39;;76.4
2020-01-01 06:30:00;22;35;10.95;17.65;3;13;18.9;351;2.37;83.2
2020-01-01 07:30:00;32;47;11.04;11.79;3.02;18;18.8;256;0.79;85.9
2020-01-01 08:30:00;34;46;10.95;22.94;3.5;14;22.7;348;0.92;69.7
2020-01-01 09:30:00;16;33;7.13;34.92;3.27;15;24.7;338;0.82;61.4
2020-01-01 10:30:00;14;32;5.01;48.55;3.87;13;26.4;344;0.91;55.5
2020-01-01 11:30:00;20;29;3.28;56.48;3.75;11;27.3;265;0.95;54.3
2020-01-01 12:30:00;21;47;4.2;62.9;3.9;11;28.3;239;1.36;52.9
2020-01-01 13:30:00;23;41;2.63;56.11;2.61;11;29;282;0.73;49.7
2020-01-01 14:30:00;28;56;2.52;58.22;3.19;17;29.5;327;2.28;46.6
2020-01-01 15:30:00;29;45;2.42;63.66;3.57;15;30.2;245;2.1;42.3
2020-01-01 16:30:00;25;46;1.53;60.76;3.2;17;30.8;240;2.35;41.5
2020-01-01 17:30:00;27;168;2.01;61.29;2.83;15;31.2;265;1.38;38.8
2020-01-01 18:30:00;22;41;3.19;55.45;2.93;16;29;38;3.47;46.2
2020-01-01 19:30:00;25;49;3.73;51.2;3.31;18;23.3;68;2.08;71.9
2020-01-01 20:30:00;21;28;5.09;46;3.36;10;20.5;97;2.3;87.5
2020-01-01 21:30:00;33;45;11.08;43.99;3.68;22;21.2;22;5.49;81.7
2020-01-01 22:30:00;16;27;22.81;25.83;12.68;15;21;61;5.46;84.2
2020-01-01 23:30:00;19;21;6.46;37.93;4.79;14;21.3;43;;84.6
2020-01-02 00:30:00;14;24;3.25;42.42;3.06;11;20.6;28;;85
2020-01-02 01:30:00;18;21;2.52;45.41;2.93;10;20.4;5;;82.8
2020-01-02 02:30:00;14;19;3.23;45.16;2.55;12;19.5;40;8.22;88.1
2020-01-02 03:30:00;11;14;2.21;43.13;3.15;10;19.3;24;4.5;89.4
2020-01-02 04:30:00;15;15;4.47;37.76;3.02;9;19.4;20;7.77;89.4
2020-01-02 05:30:00;13;18;6.77;34.65;3.04;11;19.7;357;5.13;86.7
2020-01-02 06:30:00;12;18;9.12;33;2.79;9;20;7;7.43;83.7
2020-01-02 07:30:00;14;24;10.72;31.09;2.99;11;20.3;6;7.21;84.5
2020-01-02 08:30:00;21;23;11.08;29.23;3.04;14;21.4;3;6.9;81.8
2020-01-02 09:30:00;14;27;6.55;33.35;3.48;14;23.7;346;4.18;76.5
2020-01-02 10:30:00;15;28;3.05;46.4;3.93;13;25.4;305;9.01;66.3
2020-01-02 11:30:00;24;35;2.69;57.84;4.22;17;25;299;10.39;67.7
2020-01-02 12:30:00;26;33;6.54;69.94;3.81;15;25.8;273;8.89;65.1
2020-01-02 13:30:00;21;44;4.63;65.76;3.23;14;26.4;292;;59.7
2020-01-02 14:30:00;22;48;2.71;61.52;2.96;11;27.5;302;;54.8
2020-01-02 15:30:00;28;65;2.38;59.44;3.09;12;26.1;298;;61
2020-01-02 16:30:00;24;;2;51.9;3.2;14;22.9;269;7.4;81.2
