Timestamp;PM10;PTS;PM 2,5
2017-06-28 15:30:00;;60;
2017-06-28 16:30:00;12;104;
2017-06-28 17:30:00;12;104;
2017-06-28 18:30:00;35;335;
2017-06-28 19:30:00;19;141;
2017-06-28 20:30:00;8;;
2017-06-28 21:30:00;15;;
2017-06-28 22:30:00;9;;
2017-06-28 23:30:00;16;;
2017-06-29 00:30:00;9;;
2017-06-29 01:30:00;15;;
2017-06-29 02:30:00;11;36;
2017-06-29 03:30:00;8;38;
2017-06-29 04:30:00;6;;
2017-06-29 05:30:00;5;39;
2017-06-29 06:30:00;13;;
2017-06-29 07:30:00;15;;
2017-06-29 08:30:00;53;;14
2017-06-29 09:30:00;;;
2017-06-29 10:30:00;42;91;3
2017-06-29 11:30:00;;;1
2017-06-29 12:30:00;;;7
2017-06-29 13:30:00;;;3
2017-06-29 14:30:00;36;65;4
2017-06-29 15:30:00;37;79;8
2017-06-29 16:30:00;38;98;9
2017-06-29 17:30:00;129;277;27
2017-06-29 18:30:00;133;276;36
2017-06-29 19:30:00;149;264;49
2017-06-29 20:30:00;;;26
2017-06-29 21:30:00;;;24
2017-06-29 22:30:00;;;24
2017-06-29 23:30:00;;;20
2017-06-30 00:30:00;;;14
2017-06-30 01:30:00;;;17
2017-06-30 02:30:00;;;18
2017-06-30 03:30:00;;;18
2017-06-30 04:30:00;25;;11
2017-06-30 05:30:00;32;42;10
2017-06-30 06:30:00;;;16
2017-06-30 07:30:00;85;139;18
2017-06-30 08:30:00;;;19
2017-06-30 09:30:00;;;12
2017-06-30 10:30:00;67;113;14
2017-06-30 11:30:00;;;7
2017-06-30 12:30:00;;;2
2017-06-30 13:30:00;;87;4
2017-06-30 14:30:00;;92;6
2017-06-30 15:30:00;;;6
2017-06-30 16:30:00;;;7
2017-06-30 17:30:00;;442;35
2017-06-30 18:30:00;;191;16
2017-06-30 19:30:00;;154;21
2017-06-30 20:30:00;;;31
2017-06-30 21:30:00;;161;28
2017-06-30 22:30:00;;;16
2017-06-30 23:30:00;;;16
2017-07-01 00:30:00;;;17
2017-07-01 01:30:00;;48;12
2017-07-01 02:30:00;;;13
2017-07-01 03:30:00;;41;15
2017-07-01 04:30:00;;;12
2017-07-01 05:30:00;;49;10
2017-07-01 06:30:00;;;18
2017-07-01 07:30:00;;127;16
2017-07-01 08:30:00;;131;13
2017-07-01 09:30:00;;;14
2017-07-01 10:30:00;;;10
2017-07-01 11:30:00;;90;11
2017-07-01 12:30:00;;78;10
2017-07-01 13:30:00;;63;6
2017-07-01 14:30:00;;69;11
2017-07-01 15:30:00;;94;14
2017-07-01 16:30:00;;80;9
2017-07-01 17:30:00;;138;31
2017-07-01 18:30:00;;144;24
2017-07-01 19:30:00;;175;25
2017-07-01 20:30:00;;;28
2017-07-01 21:30:00;;;23
2017-07-01 22:30:00;;;23
2017-07-01 23:30:00;;;37
2017-07-02 00:30:00;;;16
2017-07-02 01:30:00;;;19
2017-07-02 02:30:00;;;21
2017-07-02 03:30:00;;;21
2017-07-02 04:30:00;;;19
2017-07-02 05:30:00;;49;18
2017-07-02 06:30:00;;;16
2017-07-02 07:30:00;;;26
2017-07-02 08:30:00;;;13
2017-07-02 09:30:00;;;8
2017-07-02 10:30:00;;;3
2017-07-02 11:30:00;;41;3
2017-07-02 12:30:00;;;12
2017-07-02 13:30:00;;;13
2017-07-02 14:30:00;;55;10
2017-07-02 15:30:00;;;14
2017-07-02 16:30:00;;;16
2017-07-02 17:30:00;;;15
2017-07-02 18:30:00;;67;12
2017-07-02 19:30:00;;;15
2017-07-02 20:30:00;;;11
2017-07-02 21:30:00;;;
2017-07-02 22:30:00;;;12
2017-07-02 23:30:00;;;12
2017-07-03 00:30:00;;;11
2017-07-03 01:30:00;;;7
2017-07-03 02:30:00;;;7
2017-07-03 03:30:00;;;6
2017-07-03 04:30:00;;;4
2017-07-03 05:30:00;;12;3
2017-07-03 06:30:00;;171;13
2017-07-03 07:30:00;;;11
2017-07-03 08:30:00;;;6
2017-07-03 09:30:00;;;2
2017-07-03 10:30:00;49;164;2
2017-07-03 11:30:00;;;1
2017-07-03 12:30:00;;;
2017-07-03 13:30:00;;;
2017-07-03 14:30:00;33;80;4
2017-07-03 15:30:00;38;;5
2017-07-03 16:30:00;;82;11
2017-07-03 17:30:00;;;
2017-07-03 18:30:00;;171;
2017-07-03 19:30:00;;;12
2017-07-03 20:30:00;;;12
2017-07-03 21:30:00;;;10
2017-07-03 22:30:00;;;11
2017-07-03 23:30:00;;;12
2017-07-04 00:30:00;28;45;11
2017-07-04 01:30:00;;;5
2017-07-04 02:30:00;;;6
2017-07-04 03:30:00;8;16;4
2017-07-04 04:30:00;;;6
2017-07-04 05:30:00;;;7
2017-07-04 06:30:00;;;16
2017-07-04 07:30:00;81;172;12
2017-07-04 08:30:00;;;9
2017-07-04 09:30:00;42;86;6
2017-07-04 10:30:00;;;1
2017-07-04 11:30:00;41;97;3
2017-07-04 12:30:00;;;4
2017-07-04 13:30:00;34;80;5
2017-07-04 14:30:00;38;67;3
2017-07-04 15:30:00;;;4
2017-07-04 16:30:00;;;6
2017-07-04 17:30:00;75;154;12
2017-07-04 18:30:00;66;112;20
2017-07-04 19:30:00;;;13
2017-07-04 20:30:00;;;10
2017-07-04 21:30:00;;;11
2017-07-04 22:30:00;;;6
2017-07-04 23:30:00;;;6
2017-07-05 00:30:00;;7;3
2017-07-05 01:30:00;;;
2017-07-05 02:30:00;;;
2017-07-05 03:30:00;;;3
2017-07-05 04:30:00;;;5
2017-07-05 05:30:00;;;7
2017-07-05 06:30:00;;;16
2017-07-05 07:30:00;;;18
2017-07-05 08:30:00;65;118;9
2017-07-05 09:30:00;18;37;5
2017-07-05 10:30:00;24;42;3
2017-07-05 11:30:00;36;60;6
2017-07-05 12:30:00;;;8
2017-07-05 13:30:00;;;6
2017-07-05 14:30:00;;;3
2017-07-05 15:30:00;;;6
2017-07-05 16:30:00;35;74;10
2017-07-05 17:30:00;;;17
2017-07-05 18:30:00;;;8
2017-07-05 19:30:00;;;6
2017-07-05 20:30:00;;;9
2017-07-05 21:30:00;;;7
2017-07-05 22:30:00;;;13
2017-07-05 23:30:00;;;13
2017-07-06 00:30:00;;;9
2017-07-06 01:30:00;;;5
2017-07-06 02:30:00;;;8
2017-07-06 03:30:00;20;30;9
2017-07-06 04:30:00;;;7
2017-07-06 05:30:00;;;10
2017-07-06 06:30:00;;145;16
2017-07-06 07:30:00;;;21
2017-07-06 08:30:00;187;484;44
2017-07-06 09:30:00;;;13
2017-07-06 10:30:00;21;42;8
2017-07-06 11:30:00;;;4
2017-07-06 12:30:00;;;
2017-07-06 13:30:00;;;6
2017-07-06 14:30:00;;;6
2017-07-06 15:30:00;;;5
2017-07-06 16:30:00;;72;7
2017-07-06 17:30:00;;;12
2017-07-06 18:30:00;;;11
2017-07-06 19:30:00;;;16
2017-07-06 20:30:00;;;15
2017-07-06 21:30:00;;;11
2017-07-06 22:30:00;;;14
2017-07-06 23:30:00;;;17
2017-07-07 00:30:00;;;9
2017-07-07 01:30:00;;;13
2017-07-07 02:30:00;;;14
2017-07-07 03:30:00;;;11
2017-07-07 04:30:00;;;11
2017-07-07 05:30:00;;;14
2017-07-07 06:30:00;53;80;19
2017-07-07 07:30:00;;;17
2017-07-07 08:30:00;59;113;17
2017-07-07 09:30:00;;;8
2017-07-07 10:30:00;;;6
2017-07-07 11:30:00;;;8
2017-07-07 12:30:00;;;10
2017-07-07 13:30:00;;;10
2017-07-07 14:30:00;;;6
2017-07-07 15:30:00;;;2
2017-07-07 16:30:00;40;77;5
2017-07-07 17:30:00;;;17
2017-07-07 18:30:00;76;132;19
2017-07-07 19:30:00;;;17
2017-07-07 20:30:00;;;19
2017-07-07 21:30:00;;;16
2017-07-07 22:30:00;;;19
2017-07-07 23:30:00;;;12
2017-07-08 00:30:00;;;
2017-07-08 01:30:00;;;
2017-07-08 02:30:00;;;9
2017-07-08 03:30:00;;;9
2017-07-08 04:30:00;;;17
2017-07-08 05:30:00;26;;14
2017-07-08 06:30:00;;;12
2017-07-08 07:30:00;59;158;15
2017-07-08 08:30:00;;;19
2017-07-08 09:30:00;;;8
2017-07-08 10:30:00;;;6
2017-07-08 11:30:00;;;5
2017-07-08 12:30:00;;;14
2017-07-08 13:30:00;;;8
2017-07-08 14:30:00;65;131;6
2017-07-08 15:30:00;;;8
2017-07-08 16:30:00;;;9
2017-07-08 17:30:00;;;15
2017-07-08 18:30:00;58;97;11
2017-07-08 19:30:00;52;97;17
2017-07-08 20:30:00;;;21
2017-07-08 21:30:00;;;26
2017-07-08 22:30:00;;;23
2017-07-08 23:30:00;;;15
2017-07-09 00:30:00;;;14
2017-07-09 01:30:00;;;19
2017-07-09 02:30:00;;;15
2017-07-09 03:30:00;;;12
2017-07-09 04:30:00;;;9
2017-07-09 05:30:00;;;
2017-07-09 06:30:00;;;13
2017-07-09 07:30:00;24;51;13
2017-07-09 08:30:00;;;9
2017-07-09 09:30:00;;;6
2017-07-09 10:30:00;27;57;6
2017-07-09 11:30:00;28;64;5
2017-07-09 12:30:00;15;51;2
2017-07-09 13:30:00;;;3
2017-07-09 14:30:00;13;29;4
2017-07-09 15:30:00;;;3
2017-07-09 16:30:00;23;26;4
2017-07-09 17:30:00;;;9
2017-07-09 18:30:00;39;69;10
2017-07-09 19:30:00;69;123;26
2017-07-09 20:30:00;;;24
2017-07-09 21:30:00;;;19
2017-07-09 22:30:00;;;12
2017-07-09 23:30:00;;;13
2017-07-10 00:30:00;;;9
2017-07-10 01:30:00;;;18
2017-07-10 02:30:00;;;15
2017-07-10 03:30:00;;;19
2017-07-10 04:30:00;;;17
2017-07-10 05:30:00;28;31;16
2017-07-10 06:30:00;;;19
2017-07-10 07:30:00;80;153;23
2017-07-10 08:30:00;70;103;16
2017-07-10 09:30:00;45;89;10
2017-07-10 10:30:00;24;50;5
2017-07-10 11:30:00;19;59;2
2017-07-10 12:30:00;43;101;5
2017-07-10 13:30:00;36;76;7
2017-07-10 14:30:00;38;71;5
2017-07-10 15:30:00;28;46;4
2017-07-10 16:30:00;29;43;5
2017-07-10 17:30:00;;;19
2017-07-10 18:30:00;115;235;24
2017-07-10 19:30:00;;;23
2017-07-10 20:30:00;;;19
2017-07-10 21:30:00;;;17
2017-07-10 22:30:00;;;15
2017-07-10 23:30:00;;;14
2017-07-11 00:30:00;;;10
2017-07-11 01:30:00;;;10
2017-07-11 02:30:00;;;13
2017-07-11 03:30:00;;;17
2017-07-11 04:30:00;;;11
2017-07-11 05:30:00;;;13
2017-07-11 06:30:00;90;175;21
2017-07-11 07:30:00;;;14
2017-07-11 08:30:00;44;;13
2017-07-11 09:30:00;;;11
2017-07-11 10:30:00;46;105;9
2017-07-11 11:30:00;27;51;5
2017-07-11 12:30:00;;;5
2017-07-11 13:30:00;;;3
2017-07-11 14:30:00;40;84;7
2017-07-11 15:30:00;;;10
2017-07-11 16:30:00;;;9
2017-07-11 17:30:00;122;237;32
2017-07-11 18:30:00;89;168;14
2017-07-11 19:30:00;;;16
2017-07-11 20:30:00;;;18
2017-07-11 21:30:00;;;18
2017-07-11 22:30:00;;;22
2017-07-11 23:30:00;;;17
2017-07-12 00:30:00;;;10
2017-07-12 01:30:00;;;10
2017-07-12 02:30:00;;;13
2017-07-12 03:30:00;;;11
2017-07-12 04:30:00;;;13
2017-07-12 05:30:00;67;79;18
2017-07-12 06:30:00;69;105;18
2017-07-12 07:30:00;87;148;22
2017-07-12 08:30:00;;;14
2017-07-12 09:30:00;;103;14
2017-07-12 10:30:00;55;108;13
2017-07-12 11:30:00;;;9
2017-07-12 12:30:00;43;90;10
2017-07-12 13:30:00;;;11
2017-07-12 14:30:00;28;74;8
2017-07-12 15:30:00;26;63;6
2017-07-12 16:30:00;;;15
2017-07-12 17:30:00;;;19
2017-07-12 18:30:00;118;254;26
2017-07-12 19:30:00;70;124;18
2017-07-12 20:30:00;;;17
2017-07-12 21:30:00;;;19
2017-07-12 22:30:00;;;18
2017-07-12 23:30:00;;;15
2017-07-13 00:30:00;;;18
2017-07-13 01:30:00;;;20
2017-07-13 02:30:00;;;15
2017-07-13 03:30:00;30;44;11
2017-07-13 04:30:00;;;14
2017-07-13 05:30:00;;;14
2017-07-13 06:30:00;;;19
2017-07-13 07:30:00;;;21
2017-07-13 08:30:00;77;148;16
2017-07-13 09:30:00;;;8
2017-07-13 10:30:00;;66;6
2017-07-13 11:30:00;;;5
2017-07-13 12:30:00;;;6
2017-07-13 13:30:00;;;5
2017-07-13 14:30:00;;;6
2017-07-13 15:30:00;35;74;6
2017-07-13 16:30:00;36;86;8
2017-07-13 17:30:00;;;19
2017-07-13 18:30:00;85;160;16
2017-07-13 19:30:00;;;19
2017-07-13 20:30:00;;;18
2017-07-13 21:30:00;;;18
2017-07-13 22:30:00;;;16
2017-07-13 23:30:00;;;15
2017-07-14 00:30:00;;;11
2017-07-14 01:30:00;;;16
2017-07-14 02:30:00;;;9
2017-07-14 03:30:00;;;9
2017-07-14 04:30:00;;;10
2017-07-14 05:30:00;42;;12
2017-07-14 06:30:00;92;;21
2017-07-14 07:30:00;;;29
2017-07-14 08:30:00;96;146;19
2017-07-14 09:30:00;41;79;12
2017-07-14 10:30:00;;;6
2017-07-14 11:30:00;36;63;1
2017-07-14 12:30:00;;;
2017-07-14 13:30:00;;;2
2017-07-14 14:30:00;;;2
2017-07-14 15:30:00;;;6
2017-07-14 16:30:00;;;13
2017-07-14 17:30:00;;;18
2017-07-14 18:30:00;65;132;21
2017-07-14 19:30:00;64;114;21
2017-07-14 20:30:00;62;105;19
2017-07-14 21:30:00;;;13
2017-07-14 22:30:00;;;12
2017-07-14 23:30:00;;;8
2017-07-15 00:30:00;;;7
2017-07-15 01:30:00;;;10
2017-07-15 02:30:00;;;11
2017-07-15 03:30:00;;;13
2017-07-15 04:30:00;;;14
2017-07-15 05:30:00;;;16
2017-07-15 06:30:00;;;17
2017-07-15 07:30:00;;;19
2017-07-15 08:30:00;;;11
2017-07-15 09:30:00;;;7
2017-07-15 10:30:00;;;5
2017-07-15 11:30:00;;;4
2017-07-15 12:30:00;;88;3
2017-07-15 13:30:00;;;1
2017-07-15 14:30:00;;;
2017-07-15 15:30:00;;;2
2017-07-15 16:30:00;;;6
2017-07-15 17:30:00;;;8
2017-07-15 18:30:00;;;7
2017-07-15 19:30:00;;;18
2017-07-15 20:30:00;;;16
2017-07-15 21:30:00;;;11
2017-07-15 22:30:00;;;8
2017-07-15 23:30:00;;;7
2017-07-16 00:30:00;;;5
2017-07-16 01:30:00;;;8
2017-07-16 02:30:00;;;9
2017-07-16 03:30:00;;;10
2017-07-16 04:30:00;;;9
2017-07-16 05:30:00;;;11
2017-07-16 06:30:00;;;9
2017-07-16 07:30:00;;;13
2017-07-16 08:30:00;;;10
2017-07-16 09:30:00;;;5
2017-07-16 10:30:00;;;2
2017-07-16 11:30:00;;;
2017-07-16 12:30:00;;;3
2017-07-16 13:30:00;;;3
2017-07-16 14:30:00;;;5
2017-07-16 15:30:00;;;7
2017-07-16 16:30:00;;;14
2017-07-16 17:30:00;;;12
2017-07-16 18:30:00;;;11
2017-07-16 19:30:00;;;10
2017-07-16 20:30:00;;;35
2017-07-16 21:30:00;;;16
2017-07-16 22:30:00;;;28
2017-07-16 23:30:00;;;18
2017-07-17 00:30:00;;;18
2017-07-17 01:30:00;;;14
2017-07-17 02:30:00;;;16
2017-07-17 03:30:00;;;21
2017-07-17 04:30:00;;;23
2017-07-17 05:30:00;;;14
2017-07-17 06:30:00;;;25
2017-07-17 07:30:00;;;22
2017-07-17 08:30:00;;;19
2017-07-17 09:30:00;;;15
2017-07-17 10:30:00;;;8
2017-07-17 11:30:00;;;5
2017-07-17 12:30:00;;;3
2017-07-17 13:30:00;;;3
2017-07-17 14:30:00;;;4
2017-07-17 15:30:00;;;9
2017-07-17 16:30:00;;;16
2017-07-17 17:30:00;;;22
2017-07-17 18:30:00;;;36
2017-07-17 19:30:00;;;29
2017-07-17 20:30:00;;;33
2017-07-17 21:30:00;;;28
2017-07-17 22:30:00;;;23
2017-07-17 23:30:00;;;17
2017-07-18 00:30:00;;;21
2017-07-18 01:30:00;;;20
2017-07-18 02:30:00;;;19
2017-07-18 03:30:00;;;18
2017-07-18 04:30:00;;;10
2017-07-18 05:30:00;;;19
2017-07-18 06:30:00;;;18
2017-07-18 07:30:00;;;21
2017-07-18 08:30:00;;;24
2017-07-18 09:30:00;;;23
2017-07-18 10:30:00;;;21
2017-07-18 11:30:00;;;8
2017-07-18 12:30:00;;;7
2017-07-18 13:30:00;;88;6
2017-07-18 14:30:00;;;11
2017-07-18 15:30:00;;175;24
2017-07-18 16:30:00;;;20
2017-07-18 17:30:00;;;21
2017-07-18 18:30:00;101;196;31
2017-07-18 19:30:00;;;18
2017-07-18 20:30:00;;;62
2017-07-18 21:30:00;;;21
2017-07-18 22:30:00;;;14
2017-07-18 23:30:00;;;10
2017-07-19 00:30:00;;;14
2017-07-19 01:30:00;;;12
2017-07-19 02:30:00;;;12
2017-07-19 03:30:00;;;10
2017-07-19 04:30:00;;;12
2017-07-19 05:30:00;;;9
2017-07-19 06:30:00;;;12
2017-07-19 07:30:00;;;11
2017-07-19 08:30:00;50;94;11
2017-07-19 09:30:00;;;8
2017-07-19 10:30:00;;;7
2017-07-19 11:30:00;42;;8
2017-07-19 12:30:00;;;4
2017-07-19 13:30:00;;;6
2017-07-19 14:30:00;30;56;10
2017-07-19 15:30:00;;;11
2017-07-19 16:30:00;;;10
2017-07-19 17:30:00;;;11
2017-07-19 18:30:00;58;107;18
2017-07-19 19:30:00;;;19
2017-07-19 20:30:00;;;14
2017-07-19 21:30:00;;;14
2017-07-19 22:30:00;;;13
2017-07-19 23:30:00;;;14
2017-07-20 00:30:00;;;11
2017-07-20 01:30:00;;;10
2017-07-20 02:30:00;;;7
2017-07-20 03:30:00;;;9
2017-07-20 04:30:00;;;6
2017-07-20 05:30:00;;;
2017-07-20 06:30:00;;;15
2017-07-20 07:30:00;;;15
2017-07-20 08:30:00;48;93;10
2017-07-20 09:30:00;;;9
2017-07-20 10:30:00;;;8
2017-07-20 11:30:00;32;70;7
2017-07-20 12:30:00;;;4
2017-07-20 13:30:00;34;86;6
2017-07-20 14:30:00;;137;17
2017-07-20 15:30:00;;;11
2017-07-20 16:30:00;75;137;19
2017-07-20 17:30:00;95;178;20
2017-07-20 18:30:00;122;216;34
2017-07-20 19:30:00;113;209;34
2017-07-20 20:30:00;89;;26
2017-07-20 21:30:00;78;;23
2017-07-20 22:30:00;53;;19
2017-07-20 23:30:00;27;;14
2017-07-21 00:30:00;28;;10
2017-07-21 01:30:00;33;57;17
2017-07-21 02:30:00;27;;10
2017-07-21 03:30:00;28;;15
2017-07-21 04:30:00;22;;9
2017-07-21 05:30:00;40;;14
2017-07-21 06:30:00;66;114;19
2017-07-21 07:30:00;78;;18
2017-07-21 08:30:00;70;;11
2017-07-21 09:30:00;61;;11
2017-07-21 10:30:00;41;102;19
2017-07-21 11:30:00;32;77;7
2017-07-21 12:30:00;23;51;6
2017-07-21 13:30:00;22;63;6
2017-07-21 14:30:00;30;61;5
2017-07-21 15:30:00;34;59;6
2017-07-21 16:30:00;58;108;11
2017-07-21 17:30:00;108;242;22
2017-07-21 18:30:00;92;162;22
2017-07-21 19:30:00;142;248;33
2017-07-21 20:30:00;134;210;36
2017-07-21 21:30:00;121;192;27
2017-07-21 22:30:00;102;157;31
2017-07-21 23:30:00;88;125;25
2017-07-22 00:30:00;96;140;26
2017-07-22 01:30:00;72;101;26
2017-07-22 02:30:00;60;88;19
2017-07-22 03:30:00;43;59;19
2017-07-22 04:30:00;54;68;21
2017-07-22 05:30:00;79;101;29
2017-07-22 06:30:00;102;160;29
2017-07-22 07:30:00;88;129;28
2017-07-22 08:30:00;69;102;22
2017-07-22 09:30:00;85;152;22
2017-07-22 10:30:00;75;134;26
2017-07-22 11:30:00;69;117;22
2017-07-22 12:30:00;45;97;6
2017-07-22 13:30:00;35;58;5
2017-07-22 14:30:00;28;43;6
2017-07-22 15:30:00;31;56;7
2017-07-22 16:30:00;41;65;11
2017-07-22 17:30:00;65;143;19
2017-07-22 18:30:00;106;165;62
