SITUAÇÃO,SUBSTÂNCIA,TOPONÍMIA,MUNICÍPIO,Latitude,Longitude
Mina inativa,Agalmatolito,Barreado,Mateus Leme,"-19,967831","-44,446139"
Mina inativa,Agalmatolito,Barreado,Mateus Leme,"-19,953567","-44,449444"
Mina ativa,Agalmatolito,Mateus Leme/Sítio Novo,Mateus Leme,"-19,936139","-44,473361"
Mina ativa,Agalmatolito,Mina Velha,Pará de Minas,"-19,882611","-44,580833"
Mina ativa,Agalmatolito,Braquiária,Pará de Minas,"-19,878231","-44,582286"
Mina inativa,Agalmatolito,Pará de Minas,Pará de Minas,"-19,839867","-44,628278"
Mina inativa,Agalmatolito,Praxedes,Pará de Minas,"-19,812842","-44,659633"
Mina ativa,Agalmatolito,Serra dos Ferreiras,Onça do Pitangui,"-19,718081","-44,758881"
Mina ativa,Agalmatolito,Serra dos Ferreiras/Esperança,Onça do Pitangui,"-19,710556","-44,761194"
Mina inativa,Agalmatolito,Serra Grande,Onça do Pitangui,"-19,697561","-44,740956"
Mina inativa,Agalmatolito,Rio do Peixe,Pitangui,"-19,633808","-44,815989"
Mina inativa,Agalmatolito,Serra dos Ferreiras,Onça do Pitangui,"-19,696564","-44,784828"
Mina inativa,Agalmatolito,Matão,Onça do Pitangui,"-19,698417","-44,791417"
Mina inativa,Agalmatolito,Matão,Onça do Pitangui,"-19,696436","-44,790461"
Mina intermitente,Agalmatolito,Matão 1,Onça do Pitangui,"-19,691856","-44,789369"
Mina ativa,Agalmatolito,Antimes,Pitangui,"-19,665339","-44,824636"
Mina inativa,Agalmatolito,Antimes,Pitangui,"-19,6642","-44,807656"
Mina inativa,Agalmatolito,Córrego Seco,Pitangui,"-19,652753","-44,893244"
Mina inativa,Agalmatolito,Pitangui,Pitangui,"-19,653872","-44,907533"
Mina inativa,Agalmatolito,Campo Grande,Pitangui,"-19,616264","-44,9568"
Mina inativa,Agalmatolito,Serra Grande,Betim,"-19,894267","-44,248889"
Mina ativa,Agalmatolito (Pirofilita),Fazenda dos Gomes,Pará de Minas,"-19,882782","-44,581077"
Mina ativa,Agalmatolito (Pirofilita),Mineração Mateus Leme,Mateus Leme,"-19,937603","-44,471865"
Mina ativa,Agalmatolito (Pirofilita),Laginha,Pará de Minas,"-19,836305","-44,635376"
Mina ativa,Agalmatolito (Pirofilita),Mineração Mateus Leme,Mateus Leme,"-19,937251","-44,471556"
Garimpo inativo,Água-marinha,Barreiro,Pedra Azul,"-16,144322","-41,259636"
Garimpo inativo,Água-marinha,Palmaço,Jequitinhonha,"-16,352896","-41,267177"
Garimpo inativo,Água-marinha,Poço Redondo,Jequitinhonha,"-16,356621","-41,283623"
Mina inativa,Água-marinha,Santa Rosa,Franciscópolis,"-18,0295","-41,903103"
Garimpo inativo,Água-marinha,Xá-Peixe,Franciscópolis,"-18,065266","-41,981142"
Garimpo ativo,Água-marinha,Tolentino,Franciscópolis,"-17,99294","-41,860032"
Mina ativa,Água-marinha,Poquinho,Itambacuri,"-17,975226","-41,703886"
Garimpo inativo,Água-marinha,Caracatã I,Poté,"-17,872843","-41,845561"
Garimpo inativo,Água-marinha,Carrapato,Poté,"-17,873357","-41,843117"
Garimpo inativo,Água-marinha,Caracatã II,Poté,"-17,877113","-41,843177"
Garimpo inativo,Água-marinha,Tanque,Poté,"-17,878783","-41,873305"
Mina ativa,Água-marinha,Mineração Vala Danta,Resplendor,"-19,318686","-41,218209"
Garimpo inativo,Água-marinha,João Henrique,Resplendor,"-19,284403","-41,225394"
Garimpo inativo,Água-marinha,Joel,Resplendor,"-19,285715","-41,229673"
Garimpo ativo,Água-marinha,José Ramiro,Resplendor,"-19,286845","-41,239201"
Garimpo ativo,Água-marinha,Aldenir Nunes,Resplendor,"-19,282186","-41,219809"
Garimpo ativo,Água-marinha,Formiga I,Conselheiro Pena,"-18,937261","-41,286949"
Garimpo ativo,Água-marinha,Azarias I,Conselheiro Pena,"-19,028171","-41,324344"
Garimpo inativo,Água-marinha,João Modesto,Mendes Pimentel,"-18,669185","-41,454448"
Garimpo inativo,Água-marinha,Fazenda do Valter,Divino das Laranjeiras,"-18,795424","-41,469548"
Garimpo ativo,Água-marinha,Itatiaia II,Conselheiro Pena,"-19,235971","-41,444291"
Garimpo ativo,Água-marinha,Cascalho I,Conselheiro Pena,"-19,215484","-41,428349"
Garimpo inativo,Água-marinha,Orozimbo Coelho,Conselheiro Pena,"-19,060087","-41,421338"
Mina ativa,Água-marinha,Urucum / Geometa,Conselheiro Pena,"-19,023135","-41,45867"
Garimpo ativo,Água-marinha,Nestor,Alvarenga,"-19,49669","-41,717843"
Garimpo ativo,Água-marinha,Morro do Cascalho,Itanhomi,"-19,233708","-41,714331"
Garimpo ativo,Água-marinha,Córrego do Chico,Itanhomi,"-19,233935","-41,720362"
Garimpo ativo,Água-marinha,Chico Leme,Novo Cruzeiro,"-17,266754","-41,931224"
Garimpo ativo,Água-marinha,Braúna,Novo Cruzeiro,"-17,22942","-41,966094"
Garimpo inativo,Água-marinha,Paredão,Araçuaí,"-17,051857","-41,903752"
Garimpo ativo,Água-marinha,Duas Barras I,Padre Paraíso,"-17,044181","-41,410328"
Garimpo ativo,Água-marinha,Fazenda Bananal,Padre Paraíso,"-17,049155","-41,409791"
Mina ativa,Água-marinha,Pirizol I,Caraí,"-17,204948","-41,470517"
Mina ativa,Água-marinha,Milanês,Caraí,"-17,196272","-41,465826"
Garimpo ativo,Água-marinha,Caldeirão I,Padre Paraíso,"-17,055722","-41,483251"
Garimpo ativo,Água-marinha,Marambaia I,Caraí,"-17,212317","-41,438041"
Garimpo ativo,Água-marinha,Cruzeta,Padre Paraíso,"-17,0284","-41,480195"
