Timestamp;PM10;PTS;PM 2,5
2023-01-01 00:30:00;17;29;10
2023-01-01 01:30:00;17;27;8
2023-01-01 02:30:00;16;26;6
2023-01-01 03:30:00;15;26;10
2023-01-01 04:30:00;15;27;7
2023-01-01 05:30:00;15;25;6
2023-01-01 06:30:00;17;27;9
2023-01-01 07:30:00;24;24;8
2023-01-01 08:30:00;16;26;8
2023-01-01 09:30:00;9;24;8
2023-01-01 10:30:00;9;20;6
2023-01-01 11:30:00;8;17;4
2023-01-01 12:30:00;10;22;2
2023-01-01 13:30:00;15;20;6
2023-01-01 14:30:00;6;17;6
2023-01-01 15:30:00;8;16;3
2023-01-01 16:30:00;8;16;3
2023-01-01 17:30:00;8;14;4
2023-01-01 18:30:00;12;16;4
2023-01-01 19:30:00;9;16;3
2023-01-01 20:30:00;10;15;3
2023-01-01 21:30:00;6;19;2
2023-01-01 22:30:00;6;16;3
2023-01-01 23:30:00;11;19;5
2023-01-02 00:30:00;7;17;4
2023-01-02 01:30:00;8;17;2
2023-01-02 02:30:00;11;18;3
2023-01-02 03:30:00;8;16;1
2023-01-02 04:30:00;9;15;1
2023-01-02 05:30:00;7;16;5
2023-01-02 06:30:00;10;21;7
2023-01-02 07:30:00;18;30;8
2023-01-02 08:30:00;21;35;7
2023-01-02 09:30:00;9;20;3
2023-01-02 10:30:00;13;22;3
2023-01-02 11:30:00;15;24;5
2023-01-02 12:30:00;10;20;7
2023-01-02 13:30:00;8;21;6
2023-01-02 14:30:00;10;24;7
2023-01-02 15:30:00;9;17;6
2023-01-02 16:30:00;7;16;2
2023-01-02 17:30:00;6;17;1
2023-01-02 18:30:00;4;16;2
2023-01-02 19:30:00;3;18;3
2023-01-02 20:30:00;15;21;4
2023-01-02 21:30:00;13;18;5
2023-01-02 22:30:00;12;26;4
2023-01-02 23:30:00;11;20;3
2023-01-03 00:30:00;7;18;5
2023-01-03 01:30:00;5;21;2
2023-01-03 02:30:00;5;19;
2023-01-03 03:30:00;10;19;1
2023-01-03 04:30:00;7;17;2
2023-01-03 05:30:00;4;19;3
2023-01-03 06:30:00;8;20;2
2023-01-03 07:30:00;9;20;3
2023-01-03 08:30:00;13;23;4
2023-01-03 09:30:00;9;20;2
2023-01-03 10:30:00;9;20;4
2023-01-03 11:30:00;12;19;8
2023-01-03 12:30:00;11;26;7
2023-01-03 13:30:00;12;25;4
2023-01-03 14:30:00;15;32;6
2023-01-03 15:30:00;;11;6
2023-01-03 16:30:00;3;16;4
2023-01-03 17:30:00;8;23;3
2023-01-03 18:30:00;11;30;3
2023-01-03 19:30:00;17;30;3
2023-01-03 20:30:00;9;26;3
2023-01-03 21:30:00;14;24;6
2023-01-03 22:30:00;18;27;5
2023-01-03 23:30:00;14;26;6
2023-01-04 00:30:00;10;18;6
2023-01-04 01:30:00;9;24;3
2023-01-04 02:30:00;6;18;3
2023-01-04 03:30:00;5;18;4
2023-01-04 04:30:00;4;16;3
2023-01-04 05:30:00;5;14;3
2023-01-04 06:30:00;5;14;6
